Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"INCP Total Personal Income (weekly) by LGA (UR) by INDP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

" Negative income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"Break O'Day (M)",17,0,12,0,12,0,17,34,3,0,0,0,10,17,9,7,12,0,0,3,0,704,863,
"Brighton (M)",7,0,9,3,17,8,54,42,11,7,3,5,4,20,8,30,51,9,22,3,3,1152,1471,
"Burnie (C)",25,0,14,0,17,7,83,68,27,5,4,0,12,27,3,27,58,5,21,14,3,1504,1924,
"Central Coast (M)",33,0,20,0,25,3,96,48,13,0,4,0,8,23,14,41,77,10,30,15,7,1772,2255,
"Central Highlands (M)",14,0,0,0,5,0,11,7,0,0,0,0,3,4,4,3,7,0,0,0,0,211,269,
"Circular Head (M)",33,0,15,0,3,3,24,25,8,0,6,4,4,9,0,20,15,0,8,9,4,548,728,
"Clarence (C)",17,0,42,0,61,21,197,140,34,7,10,15,46,59,19,87,105,30,71,26,13,3090,4089,
"Derwent Valley (M)",14,0,11,0,8,0,43,34,4,0,0,3,9,14,8,14,32,5,9,13,7,844,1062,
"Devonport (C)",21,0,22,0,17,5,89,70,28,0,3,7,10,28,13,35,68,16,38,13,8,2101,2606,
"Dorset (M)",33,0,10,0,3,3,33,22,10,0,0,0,0,6,3,14,17,6,6,9,4,624,806,
"Flinders (M)",3,0,0,0,0,0,4,3,0,0,0,0,0,4,0,0,0,0,0,0,0,63,90,
"George Town (M)",12,0,4,0,7,7,23,24,3,0,0,0,0,11,0,9,14,0,0,3,4,713,836,
"Glamorgan/Spring Bay (M)",8,0,4,0,4,0,18,25,4,0,0,0,5,10,3,4,7,4,5,8,0,459,565,
"Glenorchy (C)",9,0,37,0,47,9,188,135,35,6,5,0,26,61,18,39,106,20,58,39,27,3294,4172,
"Hobart (C)",12,0,32,5,19,13,210,274,23,18,11,6,56,42,18,100,113,51,33,26,15,1931,3012,
"Huon Valley (M)",54,0,20,0,30,9,55,42,16,3,5,0,25,15,10,37,42,20,30,9,7,1259,1670,
"Kentish (M)",23,0,3,0,14,0,23,17,6,0,0,0,6,9,0,7,14,3,6,8,0,521,681,
"King Island (M)",10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,5,0,0,65,102,
"Kingborough (M)",16,0,28,4,44,10,128,89,28,8,8,9,36,34,6,65,81,20,49,19,8,1774,2454,
"Latrobe (M)",15,0,9,0,11,3,41,29,10,0,0,3,4,4,3,16,27,4,16,11,0,902,1124,
"Launceston (C)",50,0,45,8,49,21,279,262,57,7,16,13,63,76,23,99,193,36,79,43,21,4168,5596,
"Meander Valley (M)",57,0,29,0,35,7,85,68,25,0,5,4,12,24,9,45,41,15,21,22,10,1519,2023,
"Northern Midlands (M)",32,0,16,0,19,6,43,28,13,0,0,0,10,13,6,15,32,5,14,10,8,1029,1302,
"Sorell (M)",17,0,19,0,22,0,62,33,10,0,3,3,5,19,9,17,41,7,22,10,7,1025,1332,
"Southern Midlands (M)",22,0,8,0,10,6,19,18,7,0,0,5,3,5,7,12,17,3,8,9,4,448,592,
"Tasman (M)",8,0,3,0,8,0,5,20,0,0,5,0,0,3,0,0,7,4,0,0,0,277,340,
"Waratah/Wynyard (M)",28,0,12,0,16,3,50,42,13,3,0,0,6,13,5,18,41,11,21,8,3,1221,1513,
"West Coast (M)",6,0,0,0,3,0,8,35,6,0,3,0,0,5,6,8,9,0,0,0,3,351,448,
"West Tamar (M)",24,0,29,3,23,3,85,68,16,0,10,5,21,34,12,38,66,14,32,11,10,1619,2121,
"No usual address (Tas.)",0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,78,100,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"Total",615,11,475,28,523,163,1979,1700,411,78,86,84,379,576,226,828,1287,294,591,347,181,35276,46142,


" $400-$499 ($20,800-$25,999)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Break O'Day (M)",11,0,11,0,10,0,31,36,8,0,0,4,4,11,8,9,27,0,3,3,4,603,804,
"Brighton (M)",9,0,15,0,32,3,76,53,14,0,0,4,12,37,14,21,76,4,29,8,6,838,1241,
"Burnie (C)",17,0,25,0,26,10,90,81,13,5,4,13,11,36,10,48,78,4,27,10,8,1164,1684,
"Central Coast (M)",52,0,28,0,27,11,111,68,29,3,3,0,20,27,15,46,105,11,38,25,11,1515,2140,
"Central Highlands (M)",21,0,3,0,3,0,14,12,3,0,0,0,0,0,4,3,5,0,0,0,4,158,235,
"Circular Head (M)",44,0,25,0,12,5,32,20,12,0,3,3,8,4,9,29,23,4,17,8,9,381,634,
"Clarence (C)",12,0,52,8,79,16,247,127,48,7,29,11,56,78,46,114,201,32,90,23,14,2960,4249,
