"Taxation statistics 2015–16 Companies: Key items, by industry code, 2015-16 income year1",,,,,,,,,
,,,,,,,,,
Industry code,Business description,Number of companies,Total income no.,Total income $,Total expenses no.,Total expenses $,Taxable income or loss no.,Taxable income or loss $,
23940,Aircraft Manufacturing and Repair Services,523,479,"3,192,258,619",504,"3,019,331,840",405,"301,466,603",
23990,Other Transport Equipment Manufacturing n.e.c.,262,235,"1,249,120,009",253,"1,207,315,178",213,"51,337,262",
24110,"Photographic, Optical and Ophthalmic Equipment Manufacturing",99,94,"763,944,100",97,"737,450,594",78,"23,019,901",
24120,Medical and Surgical Equipment Manufacturing,970,893,"5,231,458,519",944,"4,318,785,461",804,"840,401,745",
24190,Other Professional and Scientific Equipment Manufacturing,345,310,"1,515,647,638",338,"1,501,981,867",297,"43,587,838",
24211,Computer and Related Equipment Manufacturing,342,308,"670,823,234",330,"626,653,906",263,"81,490,016",
24219,Business Machine (Electronic) Manufacturing n.e.c.,169,157,"444,226,034",161,"451,317,000",136,"7,492,151",
24220,Communication Equipment Manufacturing,377,351,"2,563,412,988",368,"2,458,746,925",304,"184,720,123",
24290,Other Electronic Equipment Manufacturing,220,196,"793,811,925",212,"695,030,226",186,"138,489,682",
24310,Electric Cable and Wire Manufacturing,203,196,"1,669,728,368",199,"1,690,424,637",169,"19,864,562",
24320,Electric Lighting Equipment Manufacturing,385,355,"887,494,730",372,"877,185,988",309,"11,728,995",
24390,Other Electrical Equipment Manufacturing,806,730,"3,155,064,600",776,"3,051,946,454",654,"160,572,300",
24410,Whiteware Appliance Manufacturing,143,130,"754,681,936",141,"722,933,283",123,"43,755,515",
24490,Other Domestic Appliance Manufacturing,145,128,"303,395,252",137,"291,624,642",115,"16,431,434",
24510,Pump and Compressor Manufacturing,197,189,"1,700,406,419",192,"1,605,475,136",176,"119,631,533",
24520,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing",327,302,"2,525,395,815",319,"2,398,505,065",262,"150,018,004",
24610,Agricultural Machinery and Equipment Manufacturing,399,360,"1,328,670,902",377,"1,270,030,784",328,"68,324,527",
24620,Mining and Construction Machinery Manufacturing,415,380,"3,746,814,860",401,"3,837,883,873",357,"149,389,344",
24630,Machine Tool and Parts Manufacturing,505,477,"1,547,516,846",492,"1,486,987,535",393,"64,690,141",
24690,Other Specialised Machinery and Equipment Manufacturing,377,337,"2,212,317,286",366,"1,898,313,398",304,"303,241,901",
24910,Lifting and Material Handling Equipment Manufacturing,158,146,"1,045,483,039",154,"1,065,150,420",123,"13,434,177",
24990,Other Machinery and Equipment Manufacturing n.e.c.,"1,044",947,"4,557,806,430","1,007","4,404,680,184",861,"199,438,232",
25110,Wooden Furniture and Upholstered Seat Manufacturing,"1,557","1,483","2,313,500,570","1,512","2,175,787,725","1,201","129,603,664",
25120,Metal Furniture Manufacturing,94,90,"244,285,405",93,"227,964,859",73,"17,358,107",
25130,Mattress Manufacturing,26,25,"117,133,445",25,"113,990,987",21,"4,284,750",
25190,Other Furniture Manufacturing,506,487,"1,503,480,521",495,"1,433,221,080",407,"80,031,170",
25910,Jewellery and Silverware Manufacturing,408,378,"295,376,712",396,"277,613,331",304,"17,285,136",
25920,"Toy, Sporting and Recreational Product Manufacturing",401,355,"945,929,355",390,"830,872,702",315,"130,142,108",
25990,Other Manufacturing n.e.c.,673,590,"774,698,673",649,"763,694,823",538,"19,799,339",
26110,Fossil Fuel Electricity Generation,<10,na,"9,371,739,648",na,"8,930,781,741",na,"55,868,396",
26120,Hydro-Electricity Generation,16,14,"5,926,512",15,"12,612,510",12,"-2,036,771",
26190,Other Electricity Generation,227,189,"1,685,465,409",211,"1,984,519,927",183,"-56,573,260",
26200,Electricity Transmission,34,30,"2,146,661,501",32,"1,699,127,371",28,"267,621,482",
26300,Electricity Distribution,202,169,"27,598,822,752",192,"29,283,768,993",161,"584,536,360",
26400,On Selling Electricity and Electricity Market Operation,97,85,"414,021,237",91,"411,853,305",81,"8,373,238",
27000,Gas Supply,118,106,"4,174,489,891",113,"3,426,431,077",94,"143,785,555",
28110,Water Supply,401,362,"1,741,895,552",389,"1,586,669,169",312,"80,792,121",
28120,Sewerage and Drainage Services,147,137,"169,308,016",141,"157,693,320",120,"13,058,291",
29110,Solid Waste Collection Services,462,433,"4,054,685,775",448,"3,794,481,201",370,"263,969,000",
