Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"Western Plains Regional (A)",218,2237,1462,2614,3765,3491,3363,3605,3662,3345,2011,1677,1245,1474,612,4928,10373,50075,
"Willoughby (C)",310,7552,2437,2811,2969,2958,3005,3187,3774,4398,3529,3482,2741,5698,7127,3929,14410,74303,
"Wingecarribee (A)",201,2927,1696,2429,3663,3607,3451,3242,3337,3188,1964,1723,1291,1778,1281,3707,8405,47878,
"Wollondilly (A)",143,3242,1578,2268,3017,2680,2696,2989,3337,3544,2469,2141,1617,2155,913,3046,10685,48520,
"Wollongong (C)",726,14523,7599,13494,17350,16307,13129,12050,12254,12786,8911,7783,5868,8233,3822,12234,36552,203630,
"Woollahra (A)",191,3730,1151,1320,1424,1547,1853,1899,2493,3351,2969,3025,2411,4937,8356,5097,8475,54239,
"Yass Valley (A)",52,778,542,651,829,798,886,887,1000,1113,859,879,598,1097,567,1213,3402,16143,
"Unincorporated NSW",22,46,22,39,61,74,72,96,71,95,49,28,21,32,27,119,184,1054,
"No usual address (NSW)",96,1141,360,1548,1326,1047,704,682,668,536,272,215,134,210,109,2492,741,12288,
"Migratory - Offshore - Shipping (NSW)",0,19,9,32,43,31,37,43,25,10,7,15,3,13,3,77,39,419,
"Total",31127,568285,243660,415480,526577,501695,448017,450648,489367,498808,341095,290546,209058,321563,215642,542323,1386336,7480230,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
